sample_id,experiment,chunking_time_s,num_chunks,mrr,map,ndcg_at_k,precision_at_k,recall_at_k,f1_score_at_k
1237920926774398276,semantic_t0.7_miniLM,0,4774615,0.0,0.0,0.0,0.0,0.0,0.0
7919435139824322376,semantic_t0.7_miniLM,0,4774615,0.0,0.0,0.0,0.0,0.0,0.0
-4153878831646153158,semantic_t0.7_miniLM,0,4774615,1.0,1.0,1.0,0.2,0.09090909090909091,0.12500000000000003
-1875071578402929091,semantic_t0.7_miniLM,0,4774615,0.0,0.0,0.0,0.0,0.0,0.0
-6915022137556954261,semantic_t0.7_miniLM,0,4774615,0.0,0.0,0.0,0.0,0.0,0.0
-5514927031084251120,semantic_t0.7_miniLM,0,4774615,0.0,0.0,0.0,0.0,0.0,0.0
5857670583123236363,semantic_t0.7_miniLM,0,4774615,0.0,0.0,0.0,0.0,0.0,0.0
-3560340862235833061,semantic_t0.7_miniLM,0,4774615,0.0,0.0,0.0,0.0,0.0,0.0
-6921081224195121252,semantic_t0.7_miniLM,0,4774615,0.0,0.0,0.0,0.0,0.0,0.0
-8851004993639469397,semantic_t0.7_miniLM,0,4774615,0.0,0.0,0.0,0.0,0.0,0.0
-396495289566467282,semantic_t0.7_miniLM,0,4774615,1.0,1.0,1.0,0.8,1.3333333333333333,1.0
-7131606088645665042,semantic_t0.7_miniLM,0,4774615,0.0,0.0,0.0,0.0,0.0,0.0
8520585042352769843,semantic_t0.7_miniLM,0,4774615,1.0,1.0,1.0,0.2,0.2,0.20000000000000004
1536609588322289292,semantic_t0.7_miniLM,0,4774615,0.0,0.0,0.0,0.0,0.0,0.0
2569497247687733637,semantic_t0.7_miniLM,0,4774615,1.0,1.0,1.0,0.2,0.5,0.28571428571428575
-4206466522516452259,semantic_t0.7_miniLM,0,4774615,0.5,0.5,0.6309297535714575,0.2,0.5,0.28571428571428575
-3259873796234534599,semantic_t0.7_miniLM,0,4774615,0.0,0.0,0.0,0.0,0.0,0.0
-5685332946354583217,semantic_t0.7_miniLM,0,4774615,0.0,0.0,0.0,0.0,0.0,0.0
-8875298975150450475,semantic_t0.7_miniLM,0,4774615,0.0,0.0,0.0,0.0,0.0,0.0
6316787269121500350,semantic_t0.7_miniLM,0,4774615,0.3333333333333333,0.3666666666666667,0.5437713091520254,0.4,0.2222222222222222,0.2857142857142857
